,title,salary,jobtype,location,description,company
617,Data Engineer - Athlete Hub,,,"Coraopolis, PA 15108","Work with stakeholders including the product, data and architecture teams to assist with data-related technical issues and support their data infrastructure…",
618,CDC Big Data Fellowship,,,"Atlanta, GA 30329","Using advanced database, data warehousing and data management methods and technologies to support extraction and transformation of STD case and surveillance…",
619,Data Engineer (Asymmetric Threat Statistical Analyst),,,"Reston, VA 20190 (Sunset Hills area)","You will develop, document, implement, and automate ETL (extract transform load) processes using SQL® and other analytical programming tools that most…",
620,Sr. Data Scientist Supervisor,,,"Corning, NY 14831",Perform exploratory and targeted data analysis using commercial and open source data analytic software packages.,
621,Senior Data Analyst,,,"North Little Rock, AR",Compiling and preparing data from various sources for data analysis and data research.Ensuring data quality by focusing on data accuracy and completeness.,
622,Senior Software Engineer- Python,,Remote,Remote•Remote,Previous work experience in insurance and/or experience with data science and software combined platforms is very desirable.,
623,Data Science Manager - Supply Chain,,,"Detroit, MI 48226+8 locations (Downtown area)","You have a graduate degree focusing on math, data science, analytics, or engineering.A data expert with serious analytical and statistical chops.",
624,Sr. Data Analyst,,,"Milpitas, CA 95035",Engineering data pipelines (batch and real-time) that aids in creation of data-driven products/services.Data Analyst who can help with data and presentation…,
625,Data Science Advisor (Medicare Health Services & Revenue Man...,,,"Bloomfield, CT","Collaborate with matrix partners to understand project developments, assess impacts to data and analytics.Identify, analyze and interpret trends or patterns in…",
626,Non Clinical CMS Statistician,,,"West Greenwich, RI 02817","Proficient in SAS programming (data manipulation techniques, macro, statistical and graphical PROCs, and ODS) and JMP statistical software.",
627,Tutor or Teacher - Data Science,$30 - $60 an hour,,"South Webster, OH 45682",I am a computer science major in college and I am struggling with data structures in college.Set your own hours while you help students learn the subjects you…,
628,Data Scientist Advisor,,,"Brookfield, WI+3 locations",Works closely with data scientists and data engineers to develop machine learning algorithms.Provide expert leadership at the enterprise level related to vast…,
629,Data & Analytics Leader,,,"Hartford, CT+4 locations","Validated project management experience covering a broad business base, complemented with a concentration in analytics, data strategy, data architecture, data…",
630,"Senior Machine Learning Modeler, Cash App",,,"Austin, TX+1 location",You will experiment with various modeling techniques on our comprehensive customer data and see your solution through to production by partnering cross…,
631,Data Scientist-HomeKit,,,"Santa Clara Valley, CA 95014","Foundation in data science, machine learning, and analytics, including statistical data analysis and A/B testing.",
632,Civic Data Analyst,,,"Kirkwood, MO 63122+11 locations","1+ year(s) of experience manipulating data sets, visualizing data, building statistical models, and the general application of data science concepts and tools…",
633,Mathematician,,,"Las Vegas, NV 89119 (Paradise area)","As a mathematician, you will be responsible for creating mathematical models for multiple games and researching and analyzing games from a game/math balance…",
634,AI Engineer,,,"Bellevue, WA","Experience with applying machine learning techniques to problems in simulation engines and 3D data (sensors, physics engines, object detection, etc.).",
635,Data Scientist,,,"Gaithersburg, MD 20877","Experience in Python software development, data science and machine learning.GeneDx is recruiting for a full-time Data Scientist to contribute to a team…",
636,Decision Scientist,,Remote,Remote+1 location•Remote,"Experience finding, cleaning, and manipulating data to build data sets.3+ years of experience in data analysis, data science, decision science, or similar…",
637,Data Science Developer,,Remote,United States+1 location•Remote,"Education Requirements: BA/BS in a technical discipline, or equivalent professional experienceExperience Requirements: 5+ years backend software development…",
638,CCB - Applied AI ML - VP,,,"Columbus, OH",Significant experience working with very large scale (structured and unstructured) data.Generate deep insights through the analysis of data and understanding…,
639,Data Scientist,,,"San Jose, CA+1 location",Create the vision for data science solutions incorporating the latest techniques.Knowledge of cloud services (GCP /AWS ) and developing data science projects.,
640,Applied Research Scientist,,Remote,"San Francisco, CA 94104+1 location (Financial District area)•Remote","To ensure that teams are able to overlap in their working hours and to meet face-to-face when needed, all team members need to live within three hours of a hub.",
641,Mathematician,,,"Las Vegas, NV","The Mathematician job role involves evaluating mathematical models for electronic slot machines, casino table games, internet casino games and lotteries.",
642,Junior Data Scientist - Secret Clearance Required,,,"Tysons, VA","Data science methods related to data architecture, data munging, data and feature engineering, and predictive analytics.0–4 years of experience in the field.",
643,Data Science Manager,,,"Pleasanton, CA","You will work closely with other data scientists, engineers and partners across Marketing, Sales and R&D to derive insights from diverse data sources, help the…",
644,Data Analyst,,,"Washington, DC 20006 (Foggy Bottom area)","Experience with data analytics software including Python or R.Responsibilities includes analyzing large and complex data sets, including a thorough aptitude…",
645,"Statistician, Asc Principal",,,"Wpafb, OH","Seeking an experienced candidate with diverse backgrounds in applied statistics, applied mathematics, engineering, operations research, and test and evaluation…",
646,Machine Learning Engineer(s),,,"Boise, ID 83701+7 locations (West Valley area)",You have experience in prototyping machine learning models on data from multiple data sources with many distinct attributes.,
647,"Data Engineering Consultant, Public Sector - AWS Professiona...","$125,000 a year",,"Arlington, VA",Hands on experience working on large-scale data science/data analytics projects.Hands on experience with building data or machine learning pipeline.,
648,Data Science & Technology - Postdoctoral Researcher,,,"San Francisco Bay Area, CA","Write scientific research papers suitable for submission to peer-reviewed computer science venues, in research areas connected to high-performance computing and…",
649,Lead Data Engineer,,,"Austin, TX","Experience with data science and machine learning.Hands-on experience with data modeling, data mapping, datacleansing and data transformation activities.",
650,Reporting Analyst,,,"East Hanover, NJ 07936",Perform data cleansing and prepare data according to applicable segmentation policy and guidance from Demand Planner(s).,
651,"AI/ML - Software Engineer, Siri Understanding",,,"Seattle, WA+1 location","You must have a “make it happen” attitude and willingness to also work hands-on in building tools, testing, data collection, running experiments as well as work…",
652,"Manager, Athleta Marketing Effectiveness",,,"San Francisco, CA 94105 (Financial District area)","Experienced with data visualizations, business intelligence tools preferred.Use existing and drive the development of new reports/tools/visualizations to…",
653,Senior Data Scientist,,,"Thousand Oaks, CA",5+ year of industry experience in quantitative analytics and applied data science.The team will rely on your expertise in data science to build this visionary…,
654,Statistician,,,"Houston, TX 77056 (Greater Uptown area)",Analyzes and interprets data from various sources.The Statistician will analyze and interpret data from various sources and provide expert opinions.,
655,eCom Senior Research Scientist,,,"New York, NY","You will be tasked with identifying, designing, and implementing data science/machine learning solutions to business problems.",
656,Senior Data Analyst,"$84,468 - $104,909 a year",,"Queens, NY 11101","Expertise in data analytics, data mining and visualization software such as Python for machine learning techniques.DEPT OF HEALTH/MENTAL HYGIENE.",
657,Statistician (Senior or Principal),,,"Wilmington, DE 19850+1 location",If you would like to apply your expertise in a global company pushing the boundaries of science – join us!Do you have an appetite to use statistical methods to…,
658,AI/ML Software Engineer,,,"Ann Arbor, MI","Our expert teams of physicists, engineers, data scientists and problem-solvers work together with the world’s leading technology providers to accelerate the…",
659,"(USA) Staff Data Analyst, Anti-Money Laundering",,,"Bentonville, AR 72716","Option 3: 5 years' experience in data analysis, data science, statistics, or related field.Analyzing clusters and present the information in data visualization…",
660,"Technology Analyst Program - Cyber, Infrastructure, Data Sci...",,,"Alpharetta, GA",Leading and participating in projects that require advanced data and business analysis skills including best in practice methodologies and modeling.,
661,Data Scientist - Fraud Analytics,,,"Mountain View, CA","Strong modeling skillset, hands on mastery of data manipulation and experience with data analytics tools (SQL, R, Python, Hive, Spark, and other data analysis…",
662,"Head of Data Science, Square Hardware",,,"San Francisco, CA","Experience leading data science infrastructure strategy and implementation and familiarity with data warehouse design, development, and best practices.",
663,Data Scientist - AI/ML,,,"San Francisco, CA",You will also work closely with 3rd party data providing vendors to acquire appropriate data.Understanding of data pipelines for machine learning purposes.,
664,Data Scientist,,,"Cupey, PR+1 location","Analyze data for trends and patterns.Assess effectiveness of the data model.Strong experience using Python, R or other programming language to manipulate data…",
665,Data Scientist,,,"New York, NY 10104 (Midtown area)","A Bachelor’s or Master’s degree in a quantitative field such as statistics, mathematics, econometrics, operations research, data science, computer science,…",
666,"Sr. Analyst, Portfolio Data Operations - HBO Max",,,"Los Angeles, CA","Knowledge of market research, data science methodology and trends based work.Ability, from a business and data perspective, to understand how first party data…",
667,Katabat System Administrator for Consumer Digital Collection...,,Remote,Alabama+1 location•Remote,"This role is responsible for programming the collections treatment decision logic in the Katabat Digital Platform, as well as having responsibility for…",
668,"Data Science, Senior Analyst",,,"Marietta, GA+1 location",This will include a demonstrated ability to efficiently retrieve data from multiple data sources with strong Access and Excel skills.,
669,Data Science Manager,,,"Pleasanton, CA","You will work closely with other data scientists, engineers and partners across Marketing, Sales and R&D to derive insights from diverse data sources, help the…",
670,Data Scientist,,,"McLean, VA+1 location","You will work with data engineers, software engineers, domain experts, and other data scientists to detect signal in the government’s data and then to build…",
671,Machine Learning & Data Engineer,,,"Plano, TX",Research and analyse data sets using a variety of statistical and machine learning techniques.Understand the Client Experience journey to formulate relevant…,
672,Data Scientist,,,United States,Assist in assessing data source quality.Lead data mining and cleaning effort.The Data Scientist will also work a Data Engineer to ensure data are properly…,
673,"VP, Data Science",,,"Jersey City, NJ",Develop data science solutions that can be tested and deployed to enable data-driven recommendations and outcomes.,
674,"Data Scientist - Philadelphia, PA(Remote)",,Remote,"Philadelphia, PA•Remote","Python, SQL, Tableau, data science experience.Bachelor's degree in Computer science or equivalent, with minimum 8+ Years of relevant experience.",
675,"Senior Machine Learning Modeler, Cash App",,,"Austin, TX+1 location",You will experiment with various modeling techniques on our comprehensive customer data and see your solution through to production by partnering cross…,
676,Data Scientist-HomeKit,,,"Santa Clara Valley, CA 95014","Foundation in data science, machine learning, and analytics, including statistical data analysis and A/B testing.",
677,Civic Data Analyst,,,"Kirkwood, MO 63122+11 locations","1+ year(s) of experience manipulating data sets, visualizing data, building statistical models, and the general application of data science concepts and tools…",
678,Mathematician,,,"Las Vegas, NV 89119 (Paradise area)","As a mathematician, you will be responsible for creating mathematical models for multiple games and researching and analyzing games from a game/math balance…",
679,AI Engineer,,,"Bellevue, WA","Experience with applying machine learning techniques to problems in simulation engines and 3D data (sensors, physics engines, object detection, etc.).",
680,Data Scientist,,,"Gaithersburg, MD 20877","Experience in Python software development, data science and machine learning.GeneDx is recruiting for a full-time Data Scientist to contribute to a team…",
681,Decision Scientist,,Remote,Remote+1 location•Remote,"Experience finding, cleaning, and manipulating data to build data sets.3+ years of experience in data analysis, data science, decision science, or similar…",
682,Data Science Developer,,Remote,United States+1 location•Remote,"Education Requirements: BA/BS in a technical discipline, or equivalent professional experienceExperience Requirements: 5+ years backend software development…",
683,CCB - Applied AI ML - VP,,,"Columbus, OH",Significant experience working with very large scale (structured and unstructured) data.Generate deep insights through the analysis of data and understanding…,
684,Data Scientist,,,"San Jose, CA+1 location",Create the vision for data science solutions incorporating the latest techniques.Knowledge of cloud services (GCP /AWS ) and developing data science projects.,
685,Applied Research Scientist,,Remote,"San Francisco, CA 94104+1 location (Financial District area)•Remote","To ensure that teams are able to overlap in their working hours and to meet face-to-face when needed, all team members need to live within three hours of a hub.",
686,Mathematician,,,"Las Vegas, NV","The Mathematician job role involves evaluating mathematical models for electronic slot machines, casino table games, internet casino games and lotteries.",
687,Junior Data Scientist - Secret Clearance Required,,,"Tysons, VA","Data science methods related to data architecture, data munging, data and feature engineering, and predictive analytics.0–4 years of experience in the field.",
688,Data Science Manager,,,"Pleasanton, CA","You will work closely with other data scientists, engineers and partners across Marketing, Sales and R&D to derive insights from diverse data sources, help the…",
689,Data Analyst,,,"Washington, DC 20006 (Foggy Bottom area)","Experience with data analytics software including Python or R.Responsibilities includes analyzing large and complex data sets, including a thorough aptitude…",
690,Senior Software engineer MLOps - Remote EMEA,,Remote,Remote•Remote,"You will focus on Dataiku DSS’ MLOps capabilities, from automating the retraining, tuning, monitoring and deployment of ML models to the interfaces that allow…",
691,Informaticist 2 - Enterprise Shared Services,,Remote,"Louisville, KY•Remote",Understands the data science pipeline and works with senior data scientists to prepare data for predictive models.2 - 5 years of data analysis experience.,
692,Sr. Business Analyst,,,"Englewood, CO 80112","Experience in data science, or data products strongly preferred.Strong track record of working within sophisticated data technology teams that enable…",
693,Financial Analytics Lead,,Remote,"Louisville, KY•Remote",Claims data as well as data from CMS are utilized to project revenue generated from specific programs.Experience in managing data to support and influence…,
694,Senior Technical Intel Analyst,,,"Chantilly, VA 20151",Demonstrated effectiveness in providing impromptu as well as prepared data analysis and briefings.Leveraging technical skills and experience to analyze large…,
695,Artificial Intelligence Consultant,,,"San Francisco, CA","A blend of data science capability, consulting expertise and industry experience.A Master's degree in data science or a related discipline like computer…",
696,Tutor or Teacher - Computer Engineering,$24 - $30 an hour,,"Fort Worth, TX 76137 (Far North area)",I have a couple machine learning Python assignments I need help on.One deals with decision trees and k nearest neighbors and the other one is linear regression…,
697,"Experienced REGISTERED NURSE, Liberty Emergency .6fte (24 ho...",,,"Township of Liberty, OH 45044","Collects clinical data; follow algorithms, decision trees, and protocols.DEPARTMENT: Division of Patient Services, CCHMC AffiliatesSUPERVISOR'S TITLE: Director…",
698,Senior Data Scientist III,,,"Raleigh, NC+1 location","As a senior member of the Data Science team, you will research and design systems to tackle tough problems in the legal domain and expand our award-winning…",
699,Analytics Strategy Consultant,,,"Sacramento, CA 95811+4 locations (Richmond Grove area)","3+ years using AI and data science to achieve business goals in large orgs.Map clients state of digital maturity, leveraging and embedding data science in…",
700,"New Grad Registered Nurse ~ Emergency Department, Burnet, .6...",,,"Cincinnati, OH 45229 (Corryville area)","Collects clinical data; follow algorithms, decision trees, and protocols.SUBFUNCTION DEFINITION: Nurses who have graduated from a college level nursing program…",
701,"Senior Manager II, Site Merchandising (CA)-7",,,"San Bruno, CA 94066","Leverages data to make real time decisions, anticipates business questions, drives hypothesis formulation, guides testing, and builds a data-driven culture.",
702,"Registered Nurse, Liberty TCC/LA4-3 (4 weeks/Liberty-2 weeks...",,,"Township of Liberty, OH 45044","Collects clinical data; follow algorithms, decision trees, and protocols.SUBFUNCTION DEFINITION: Nurses who have graduated from a college level nursing program…",
703,FDA Machine Learning Automatic Language Translation Fellowsh...,,,"Silver Spring, MD","There is a need to apply modern statistical approaches, such as data mining, machine learning and predictive analytics to analyze bigger, more complex data and…",
704,USFS Postdoctoral Fellowship in Forest Landscape Ecology & D...,,,"Asheville, NC","Experience in quantitative landscape ecology, forest resources, spatial data science, risk analysis, decision science, and/or conservation science.",
705,AI Consultant 3,,,"San Francisco, CA+1 location","The investments we are making will help the company create innovative digital banking experiences, and make it easier for customers to achieve their financial…",
706,"Market Analyst, Data Science",,,"Kohler, WI 53044","Ability to manipulate data in a fast-paced environment to gather quick insights, visualize the data and generate interactive reports and dashboards for the team…",
707,Postdoctoral Associate in Data Science,,,"New York, NY 10012 (Greenwich Village area)",PhD in mathematics or computer science (with preference for mathematics).This project involves both mathematical analysis of optimization in deep learning and…,
708,Data Scientist,,,"Pasadena, CA+1 location","Experience with distributed data analysis and large-scale data visualization (PySpark/dask, EMR).Develop an efficient infrastructure for large scale analysis…",
709,Environmental Microbiology and Data Science,"$55,000 a year",,"State University, AR","Coordinate and synthesize microbiome data.Previous experience in integrating and analyzing large scale data (omics, biogeochemical data, etc.).",
710,"Data Scientist (Maplewood, MN)*",,,"Maplewood, MN","Experience with big data and big data platforms.Researching and exploring data sources, working with data and systems experts to understand the data and what…",
711,Data Analyst,,,"Homewood, IL","Drive the collection of new data and the refinement of existing data resources.Identify trends, performance, safety, and productivity opportunities by applying…",
712,Data Science - Analyst 3,,,"San Francisco, CA",Excellent technical skills to turn big data in Hadoop into impactful insights.To be successful in this role:5+ years of experience in analytics/data…,
713,"Data Science Lead, Appointments & Conversations",,,"San Francisco, CA","7+ years of data science experience or equivalent.You will assemble a team to leverage a unique set of skills, including, data engineering, analytics, data…",
714,Senior Data Analyst,"$103,690 - $159,286 a year",,"Washington, DC","Applicants must have (1) year of specialized experience equivalent to the GS-12 level using data analysis tools (sql, python, R, etc) to build and execute data…",
715,JPMWM - Quant Analytics - Data & Analytics - Sr. Associate,,,"Columbus, OH","We have unified data and analytics talent across the firm and encompass a variety of disciplines including data science, reporting, quantitative analytics, and…",
716,"Software Engineer, Data Science",,Remote,"Chicago, IL 60601 (The Loop area)•Remote","Knowledge of popular data science frameworks, tools and approaches (Python, R, Machine Learning).Build tools and provide technical guidance for a team of data…",
717,Data Analyst,,,"San Francisco, CA 94105 (South Beach area)",Experience with data lakes and data warehousing.Manage data requests in JIRA and summarizes data findings and processes in JIRA and Confluence for internal…,
718,"Data Scientist/Modeler - Los Angeles, Teleflora",,Remote,"Los Angeles, CA 90064•Remote","Experience with eCommerce data analysis is a plus.Strong presentation skills, with the ability to translate data into business insights.",
719,Clinical Data Scientist,,,United States,"Conduct exploratory data analysis from complex, disparate data sources to recognize patterns, and identify member performance improvement opportunities.",
720,"REGISTERED NURSE OR , Cardiothoracic Operating Room (36 hour...",,,"Cincinnati, OH 45229 (Corryville area)","Collects clinical data; follow algorithms, decision trees, and protocols.SUBFUNCTION DEFINITION: Nurses who have graduated from a college level nursing program…",
721,Technical Investigative Analyst (Polygraph Clearance),,,"Chantilly, VA 20151",Demonstrated effectiveness in providing impromptu as well as prepared data analysis and briefings.Leveraging technical skills and experience to analyze large…,
722,Respiratory Therapist I/II- RRU- Float Pool- Day Shift- 36 h...,,,"Cincinnati, OH 45229 (Corryville area)","Assesses patients, clients and families and recognizes normal parameters, deviations and abnormalities in physical, emotional, developmental and behavioral…",
723,FDA Postdoctoral Fellowship in Multidomain Medical Artificia...,,,"Silver Spring, MD","For the analysis of serial CT images and genomics data, design a ML pipeline that includes.Feature extraction from imaging, genomics and clinical data (both…",
724,Senior AI/ML Architect,,,"Arlington, VA 22201+1 location","Master’s degree in engineering, computer science, data science, or a related discipline, such as statistics or applied mathematics with at least 10 years of…",
725,Data Engineer,,,"McLean, VA 22102",Partners closely with department peers to ensure holistic data solutions for our data science community and analytic users.,
726,USDA-ARS Machine Learning & AI in Nutrition Research Fellows...,,,"Davis, CA","The participant will also have the opportunity to collaborate with USDA ARS scientists on data analysis projects, and to write collaborative scientific papers…",
727,Senior Software engineer MLOps - Remote EMEA,,Remote,Remote•Remote,"You will focus on Dataiku DSS’ MLOps capabilities, from automating the retraining, tuning, monitoring and deployment of ML models to the interfaces that allow…",
728,Lead Machine Learning Analytics Engineer,,,"Hartford, CT",Ability to leverage multiple tools and programming languages to analyze and manipulate large data sets from disparate data sources.,
729,Instructor of Data Science,,,"Wright-Patterson AFB, OH","Assist faculty and staff with graduate-level research, including literature reviews, data collection, technical writing, instruction, and other duties as…",
730,"Respiratory Therapist I/II - PICU, CICU, NICU- Night Shift 7...",,,"Cincinnati, OH 45229 (Corryville area)","Assesses patients, clients and families and recognizes normal parameters, deviations and abnormalities in physical, emotional, developmental and behavioral…",
731,Research of Mathematical Approaches to Cyber Physical System...,,,"Adelphi, MD",Scientists and Engineers at the CCDC Army Research Laboratory (ARL) help shape and execute the Army's program for meeting the challenge of developing…,
732,Analytics Strategy – Consultant - Health,,,"Boston, MA+2 locations","Demonstrable knowledge in artificial intelligence, machine learning, data science, and other relevant technical domains.",
733,Sr. Cloud Software Engineer - AI Engineering - Remote,,Remote,"Milwaukee, WI•Remote","Design and implement tools accounting for the variability in data sources and collection policies, data analysis and feature extraction methodologies.",
734,"Experienced Registered Nurse ~ Emergency Department, Liberty...",,,"Township of Liberty, OH 45044","Collects clinical data; follow algorithms, decision trees, and protocols.SUBFUNCTION DEFINITION: Nurses who have graduated from a college level nursing program…",
735,"REGISTERED NURSE OR , Cardiothoracic Operating Room (36 hour...",,,"Cincinnati, OH 45229 (Corryville area)","Collects clinical data; follow algorithms, decision trees, and protocols.SUBFUNCTION DEFINITION: Nurses who have graduated from a college level nursing program…",
736,Technical Investigative Analyst (Polygraph Clearance),,,"Chantilly, VA 20151",Demonstrated effectiveness in providing impromptu as well as prepared data analysis and briefings.Leveraging technical skills and experience to analyze large…,
737,Respiratory Therapist I/II- RRU- Float Pool- Day Shift- 36 h...,,,"Cincinnati, OH 45229 (Corryville area)","Assesses patients, clients and families and recognizes normal parameters, deviations and abnormalities in physical, emotional, developmental and behavioral…",
738,FDA Postdoctoral Fellowship in Multidomain Medical Artificia...,,,"Silver Spring, MD","For the analysis of serial CT images and genomics data, design a ML pipeline that includes.Feature extraction from imaging, genomics and clinical data (both…",
739,Senior AI/ML Architect,,,"Arlington, VA 22201+1 location","Master’s degree in engineering, computer science, data science, or a related discipline, such as statistics or applied mathematics with at least 10 years of…",
740,Data Engineer,,,"McLean, VA 22102",Partners closely with department peers to ensure holistic data solutions for our data science community and analytic users.,
741,USDA-ARS Machine Learning & AI in Nutrition Research Fellows...,,,"Davis, CA","The participant will also have the opportunity to collaborate with USDA ARS scientists on data analysis projects, and to write collaborative scientific papers…",
742,Senior Software engineer MLOps - Remote EMEA,,Remote,Remote•Remote,"You will focus on Dataiku DSS’ MLOps capabilities, from automating the retraining, tuning, monitoring and deployment of ML models to the interfaces that allow…",
743,Lead Machine Learning Analytics Engineer,,,"Hartford, CT",Ability to leverage multiple tools and programming languages to analyze and manipulate large data sets from disparate data sources.,
744,Instructor of Data Science,,,"Wright-Patterson AFB, OH","Assist faculty and staff with graduate-level research, including literature reviews, data collection, technical writing, instruction, and other duties as…",
745,"Respiratory Therapist I/II - PICU, CICU, NICU- Night Shift 7...",,,"Cincinnati, OH 45229 (Corryville area)","Assesses patients, clients and families and recognizes normal parameters, deviations and abnormalities in physical, emotional, developmental and behavioral…",
746,Research of Mathematical Approaches to Cyber Physical System...,,,"Adelphi, MD",Scientists and Engineers at the CCDC Army Research Laboratory (ARL) help shape and execute the Army's program for meeting the challenge of developing…,
747,Analytics Strategy – Consultant - Health,,,"Boston, MA+2 locations","Demonstrable knowledge in artificial intelligence, machine learning, data science, and other relevant technical domains.",
748,Sr. Cloud Software Engineer - AI Engineering - Remote,,Remote,"Milwaukee, WI•Remote","Design and implement tools accounting for the variability in data sources and collection policies, data analysis and feature extraction methodologies.",
749,"Experienced Registered Nurse ~ Emergency Department, Liberty...",,,"Township of Liberty, OH 45044","Collects clinical data; follow algorithms, decision trees, and protocols.SUBFUNCTION DEFINITION: Nurses who have graduated from a college level nursing program…",
750,Machine Learning Lead,,Remote,Remote•Remote,"This role is for a a highly experienced and dynamic technical leader with outstanding client-facing skills, who takes an active technical leadership role on…",
751,Senior Statistician Late CVRM,,,"Gaithersburg, MD 20878+1 location","In this role, we will give you the chance to utilize your statistical expertise in the design, analysis, and interpretation of clinical trial programs;…",
752,Sr. ASIC Design - Compute DSP / AI Processors,,,"Markham, IL","Engineering Group, Engineering Group > ASICS Engineering.We are searching for a Senior ASIC Design Engineer to be part of the Compute DSP/AI Processor Design…",
753,Sr. Data Analyst - Multiple locations or Telecommute,,Remote,"Minnetonka, MN 55345•Remote","Perform ad hoc data research using SQL tools and fulfill various data requests.2+ years of experience writing data-driven reports, working with data to create…",
754,Senior Data Scientist,,,"North Little Rock, AR",Data discovery – identifying new data sources and novel applications of existing data.Knowledge about big data platforms.,
755,AI/ML Senior Specialist,,,"Annapolis Junction, MD","The successful candidate will work with a group of peers in the areas of image processing, digital forensics, and data stewardship.",
756,"Statistician, Asc Principal",,,"Wpafb, OH",The candidate will provide direct support to the Department of Homeland Security’s (DHS) acquisition programs; providing Scientific Test and Analysis Techniques…,
757,Acoustic Data Science Department Head (Faculty),,,"University Park, PA",The Sonar Research and Development Division of the Undersea Systems Office (USO) in the Applied Research Laboratory (ARL) at Penn State University is seeking a…,
758,Senior Data Scientist,,,"Redmond, WA 98073+3 locations","Create appropriate data sets for advanced analysis from multiple data sources including the electronic medical record, as well as survey, patient-entered data,…",
759,"Associate Director, Medical & Payer Evidence Statistics",,,"Gaithersburg, MD 20878",Has practical experience in applying statistics to observational and clinical research data.Experience in RWE observational research study management and data…,
760,Deep Learning Software Engineer,,Remote,Remote•Remote,"MS or PhD degree in computer science, computer vision, computer architecture or related technical field or equivalent experience.",
761,Statistician,,,"Baltimore, MD 21205 (Pulaski Industrial Area area)","Program, document, and validate software code to execute data handling tasks, perform data analysis, and produce data visualization results.",
762,Data Science Specialist,,,"San Francisco, CA","Develop pipelines for data cleaning and preprocessing as well as data integrity tasks with the goal of optimizing and correcting errors, inconsistencies, or…",
763,Deep Learning Firmware Engineer,,,"San Diego, CA","In the Camera Engineering team, we are dedicated to providing hardware acceleration using the new proprietary Apple Neural Engine SOC to enable real time, low…",
764,MS +2 years of experience,,,"Irving, TX 75063 (Valley Ranch area)","SimSan Global Solutions, Inc. has job openings for the position of Computer and Information Research Scientist with a Master’s Degree in Data Science and at…",
765,"Senior Machine Learning Modeler, Cash App",,,"Austin, TX+1 location",You will experiment with various modeling techniques on our comprehensive customer data and see your solution through to production by partnering cross…,
766,Data Scientist-HomeKit,,,"Santa Clara Valley, CA 95014","Foundation in data science, machine learning, and analytics, including statistical data analysis and A/B testing.",
767,Civic Data Analyst,,,"Kirkwood, MO 63122+11 locations","1+ year(s) of experience manipulating data sets, visualizing data, building statistical models, and the general application of data science concepts and tools…",
768,Mathematician,,,"Las Vegas, NV 89119 (Paradise area)","As a mathematician, you will be responsible for creating mathematical models for multiple games and researching and analyzing games from a game/math balance…",
769,AI Engineer,,,"Bellevue, WA","Experience with applying machine learning techniques to problems in simulation engines and 3D data (sensors, physics engines, object detection, etc.).",
770,Data Scientist,,,"Gaithersburg, MD 20877","Experience in Python software development, data science and machine learning.GeneDx is recruiting for a full-time Data Scientist to contribute to a team…",
771,Decision Scientist,,Remote,Remote+1 location•Remote,"Experience finding, cleaning, and manipulating data to build data sets.3+ years of experience in data analysis, data science, decision science, or similar…",
772,Data Science Developer,,Remote,United States+1 location•Remote,"Education Requirements: BA/BS in a technical discipline, or equivalent professional experienceExperience Requirements: 5+ years backend software development…",
773,CCB - Applied AI ML - VP,,,"Columbus, OH",Significant experience working with very large scale (structured and unstructured) data.Generate deep insights through the analysis of data and understanding…,
774,Data Scientist,,,"San Jose, CA+1 location",Create the vision for data science solutions incorporating the latest techniques.Knowledge of cloud services (GCP /AWS ) and developing data science projects.,
775,Applied Research Scientist,,Remote,"San Francisco, CA 94104+1 location (Financial District area)•Remote","To ensure that teams are able to overlap in their working hours and to meet face-to-face when needed, all team members need to live within three hours of a hub.",
776,Mathematician,,,"Las Vegas, NV","The Mathematician job role involves evaluating mathematical models for electronic slot machines, casino table games, internet casino games and lotteries.",
777,Junior Data Scientist - Secret Clearance Required,,,"Tysons, VA","Data science methods related to data architecture, data munging, data and feature engineering, and predictive analytics.0–4 years of experience in the field.",
778,Data Science Manager,,,"Pleasanton, CA","You will work closely with other data scientists, engineers and partners across Marketing, Sales and R&D to derive insights from diverse data sources, help the…",
779,Data Analyst,,,"Washington, DC 20006 (Foggy Bottom area)","Experience with data analytics software including Python or R.Responsibilities includes analyzing large and complex data sets, including a thorough aptitude…",
780,Data Scientist-HomeKit,,,"Santa Clara Valley, CA 95014","Foundation in data science, machine learning, and analytics, including statistical data analysis and A/B testing.",
781,Civic Data Analyst,,,"Kirkwood, MO 63122+11 locations","1+ year(s) of experience manipulating data sets, visualizing data, building statistical models, and the general application of data science concepts and tools…",
782,Mathematician,,,"Las Vegas, NV 89119 (Paradise area)","As a mathematician, you will be responsible for creating mathematical models for multiple games and researching and analyzing games from a game/math balance…",
783,AI Engineer,,,"Bellevue, WA","Experience with applying machine learning techniques to problems in simulation engines and 3D data (sensors, physics engines, object detection, etc.).",
784,Data Scientist,,,"Gaithersburg, MD 20877","Experience in Python software development, data science and machine learning.GeneDx is recruiting for a full-time Data Scientist to contribute to a team…",
785,Decision Scientist,,Remote,Remote+1 location•Remote,"Experience finding, cleaning, and manipulating data to build data sets.3+ years of experience in data analysis, data science, decision science, or similar…",
786,Data Science Developer,,Remote,United States+1 location•Remote,"Education Requirements: BA/BS in a technical discipline, or equivalent professional experienceExperience Requirements: 5+ years backend software development…",
787,CCB - Applied AI ML - VP,,,"Columbus, OH",Significant experience working with very large scale (structured and unstructured) data.Generate deep insights through the analysis of data and understanding…,
